dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
elasticsearch,junit,0.1,5432.0,87.0,1696.0,1696.0,71.0,1440.0,0.0,0.0,0.586,0.759,0.816,0.816,0.816,0.816,0.816,0.816,0.816,0.816,5088.0,6462.161,12559.772,0.76,0.123,0.816,0.028,0.034,0.062,0.8160919540229885,0.3122238586156112,6,1000.0
elasticsearch,junit,0.2,5432.0,87.0,1526.0,1526.0,72.0,1237.0,0.0,0.0,0.54,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,4578.0,5924.897,12389.523,0.769,0.131,0.828,0.023,0.03,0.052,0.8275862068965517,0.2809278350515464,6,1000.0
elasticsearch,junit,0.3,5432.0,87.0,1105.0,1105.0,66.0,1102.0,0.0,0.0,0.494,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,3315.0,5403.897,11968.992,0.713,0.119,0.759,0.012,0.058,0.07,0.7586206896551724,0.2034241531664212,6,1000.0
elasticsearch,junit,0.4,5432.0,87.0,1105.0,1105.0,59.0,950.0,0.0,0.0,0.483,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,3315.0,6100.195,11969.0,0.638,0.077,0.678,0.012,0.104,0.115,0.6781609195402298,0.2034241531664212,6,1000.0
elasticsearch,junit,0.5,5432.0,87.0,1696.0,1696.0,70.0,1071.0,0.0,0.0,0.506,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,5088.0,6548.046,12559.886,0.747,0.087,0.805,0.028,0.038,0.066,0.8045977011494253,0.3122238586156112,6,1000.0
elasticsearch,junit,1.0,5432.0,87.0,1526.0,1526.0,70.0,1050.0,0.0,0.0,0.506,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,4578.0,6104.483,12389.881,0.749,0.108,0.805,0.023,0.038,0.061,0.8045977011494253,0.2809278350515464,6,1000.0
elasticsearch,mct,0.1,6091.0,23.0,2566.0,2566.0,14.0,2239.0,0.0,0.0,0.391,0.565,0.565,0.609,0.609,0.609,0.609,0.609,0.609,0.609,7698.0,10456.696,14720.461,0.553,0.019,0.609,0.117,0.153,0.27,0.6086956521739131,0.4212772943687408,6,1000.0
elasticsearch,mct,0.2,6091.0,23.0,1105.0,1105.0,11.0,607.0,0.0,0.0,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,3315.0,8517.783,13282.131,0.464,0.022,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
elasticsearch,mct,0.3,6091.0,23.0,1105.0,1105.0,12.0,810.0,0.0,0.0,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,3315.0,8084.217,13277.262,0.505,0.027,0.522,0.022,0.229,0.25,0.5217391304347826,0.18141520275816778,6,1000.0
elasticsearch,mct,0.4,6091.0,23.0,6091.0,6091.0,23.0,4442.0,0.271,0.222,0.435,0.565,0.652,0.826,0.826,0.913,0.913,1.0,1.0,1.0,18273.0,18273.0,18273.0,0.774,0.026,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
