dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
elasticsearch,junit,0.5,5432.0,87.0,4222.0,2860.0,86.0,3762.0,0.0,0.329,0.609,0.805,0.828,0.828,0.885,0.92,0.989,0.989,0.989,0.989,9942.0,9969.816,9942.0,0.852,0.163,0.989,0.173,0.0,0.173,0.9885057471264368,0.7772459499263623,1.0,110,1.05
elasticsearch,junit,1.0,5432.0,87.0,3757.0,2860.0,79.0,3061.0,0.0,0.0,0.575,0.805,0.805,0.828,0.874,0.908,0.908,0.908,0.908,0.908,9477.0,9785.046,12800.828,0.814,0.146,0.908,0.137,0.008,0.145,0.9080459770114943,0.6916421207658321,1.0,110,1.05
elasticsearch,mct,0.1,6091.0,23.0,4495.0,2970.0,19.0,3981.0,0.0,0.0,0.565,0.565,0.565,0.652,0.739,0.739,0.826,0.826,0.826,0.826,10435.0,10990.13,13228.0,0.683,0.04,0.826,0.36,0.03,0.39,0.8260869565217391,0.7379740600886554,1.0,110,1.05
elasticsearch,mct,0.2,6091.0,23.0,4682.0,2970.0,23.0,4237.0,0.304,0.264,0.478,0.565,0.783,0.826,0.826,0.913,1.0,1.0,1.0,1.0,10622.0,10622.0,10622.0,0.798,0.047,1.0,0.391,0.0,0.391,1.0,0.7686750944015761,1.0,110,1.05
elasticsearch,mct,0.3,6091.0,23.0,4480.0,2970.0,22.0,3945.0,0.0,0.302,0.565,0.652,0.652,0.652,0.652,0.913,0.957,0.957,0.957,0.957,10420.0,10560.087,10420.0,0.766,0.073,0.957,0.358,0.002,0.359,0.9565217391304348,0.7355114102774586,1.0,110,1.05
elasticsearch,mct,0.4,6091.0,23.0,4266.0,2970.0,22.0,3658.0,0.0,0.349,0.522,0.609,0.609,0.609,0.826,0.913,0.957,0.957,0.957,0.957,10206.0,10364.696,10206.0,0.763,0.033,0.957,0.324,0.002,0.326,0.9565217391304348,0.7003776063043835,1.0,110,1.05
elasticsearch,mct,0.5,6091.0,23.0,4708.0,2970.0,23.0,4274.0,0.298,0.274,0.522,0.609,0.652,0.652,0.826,0.913,0.957,0.957,0.957,0.957,10648.0,10648.0,10648.0,0.788,0.037,1.0,0.395,0.0,0.395,1.0,0.7729436874076506,1.0,110,1.05
elasticsearch,mct,1.0,6091.0,23.0,4369.0,2970.0,22.0,3813.0,0.0,0.324,0.565,0.609,0.652,0.652,0.826,0.913,0.957,0.957,0.957,0.957,10309.0,10458.739,10309.0,0.777,0.034,0.957,0.34,0.002,0.342,0.9565217391304348,0.7172878016746018,1.0,110,1.05
hazelcast,junit,0.1,5432.0,87.0,3580.0,2860.0,86.0,2786.0,0.0,0.538,0.713,0.816,0.874,0.931,0.977,0.989,0.989,0.989,0.989,0.989,9300.0,9342.575,9300.0,0.903,0.278,0.989,0.124,0.0,0.124,0.9885057471264368,0.6590574374079529,1.0,110,1.05
hazelcast,junit,0.2,5432.0,87.0,3895.0,2860.0,87.0,3291.0,0.394,0.447,0.678,0.828,0.839,0.92,0.931,0.977,1.0,1.0,1.0,1.0,9615.0,9615.0,9615.0,0.89,0.258,1.0,0.147,0.0,0.147,1.0,0.7170471281296024,1.0,110,1.05
hazelcast,junit,0.3,5432.0,87.0,3947.0,2860.0,86.0,3377.0,0.0,0.484,0.632,0.747,0.839,0.874,0.977,0.977,0.989,0.989,0.989,0.989,9667.0,9701.138,9667.0,0.869,0.25,0.989,0.151,0.0,0.151,0.9885057471264368,0.726620029455081,1.0,110,1.05
hazelcast,junit,0.4,5432.0,87.0,3971.0,2860.0,85.0,3407.0,0.0,0.372,0.621,0.747,0.828,0.874,0.897,0.966,0.977,0.977,0.977,0.977,9691.0,9758.172,11152.0,0.853,0.186,0.977,0.153,0.001,0.153,0.9770114942528736,0.7310382916053019,1.0,110,1.05
hazelcast,junit,0.5,5432.0,87.0,3982.0,2860.0,82.0,3423.0,0.0,0.0,0.552,0.724,0.816,0.874,0.874,0.92,0.943,0.943,0.943,0.943,9702.0,9868.667,12420.75,0.827,0.226,0.943,0.154,0.003,0.157,0.9425287356321839,0.7330633284241531,1.0,110,1.05
hazelcast,junit,1.0,5432.0,87.0,3970.0,2860.0,85.0,3406.0,0.0,0.323,0.517,0.667,0.828,0.862,0.874,0.943,0.977,0.977,0.977,0.977,9690.0,9757.218,11152.0,0.829,0.182,0.977,0.153,0.001,0.153,0.9770114942528736,0.7308541973490427,1.0,110,1.05
hazelcast,mct,0.1,6091.0,23.0,3642.0,2970.0,21.0,2697.0,0.0,0.0,0.565,0.739,0.783,0.87,0.913,0.913,0.913,0.913,0.913,0.913,9582.0,10007.913,12031.0,0.805,0.019,0.913,0.236,0.008,0.244,0.9130434782608695,0.5979313741585947,1.0,110,1.05
hazelcast,mct,0.2,6091.0,23.0,3626.0,2970.0,18.0,2687.0,0.0,0.0,0.391,0.391,0.522,0.696,0.783,0.783,0.783,0.783,0.783,0.783,9566.0,10637.739,14187.875,0.641,0.018,0.783,0.234,0.047,0.282,0.782608695652174,0.595304547693318,1.0,110,1.05
hazelcast,mct,0.3,6091.0,23.0,3979.0,2970.0,17.0,3233.0,0.0,0.0,0.435,0.522,0.652,0.652,0.696,0.739,0.739,0.739,0.739,0.739,9919.0,11020.913,14011.0,0.645,0.028,0.739,0.282,0.068,0.35,0.7391304347826086,0.6532589065834838,1.0,110,1.05
hazelcast,mct,0.4,6091.0,23.0,3717.0,2970.0,21.0,2825.0,0.0,0.0,0.391,0.522,0.609,0.783,0.913,0.913,0.913,0.913,0.913,0.913,9657.0,10069.87,12031.0,0.738,0.015,0.913,0.246,0.008,0.254,0.9130434782608695,0.6102446232145788,1.0,110,1.05
hazelcast,mct,0.5,6091.0,23.0,4412.0,2970.0,23.0,3867.0,0.365,0.337,0.391,0.478,0.565,0.783,0.783,0.913,1.0,1.0,1.0,1.0,10352.0,10352.0,10352.0,0.758,0.021,1.0,0.347,0.0,0.347,1.0,0.7243473978000329,1.0,110,1.05
